ccclastupdated,application_status,license_type,application_classification,application_classification_1,application_classification_2,approved_license_type,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,approved_social_equity,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,establishment_address_1,establishment_address_2,establishment_state,premise_latitude,premise_longitude,number,street,unit_type,unit_number,city,state,premise_county,premise_zip_code,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_owner_name,parcel_number,business_image_url,business_website
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,COMMENCE OPS,10/28/2022,COMPLETE,IL281354,SafeTiva Labs LLC,Westfield,1085.0,,,109 Apremont Way,,Westfield,MA,1085,POINT (-72.571312 42.12756),POINT (-72.722381 42.1559689),172 Long Plain Rd,,Leverett,MA,1054,89-1234567,ILN281354,8/23/2021 11:29:54 AM,7/20/2021 09:12:12 AM,,False,no,,,,,,,,,Not a DBE,,,9/15/2022 04:00:00 AM,9/30/2020 10:30:07 AM,8/23/2021 02:16:23 PM,11/18/2021 02:38:44 PM,12/14/2023 03:00:00 AM,12/27/2024 03:00:00 AM,,10000.0,1085.0,Westfield,Hampden,42.12756,-72.571312,Western MA,109 Apremont Way,,MA,42.155969,-72.722382,109.0,Apremont Way,,,Westfield,MA,Hampden County,1085.0,SafeTiva Labs LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,General Applicant,General Applicant,General Applicant,COMMENCE OPS,3/1/2021,COMPLETE,IL281277,EVIO Labs MA,Framingham,1701.0,,,40 Speen St,Suite 301,Framingham,MA,1701,POINT (-71.275566 42.459085),POINT (-71.389405 42.3121829),40 Speen St,Suite 301,Framingham,MA,1701,12-1234567,ILN281277,10/30/2018 03:29:37 PM,9/14/2018 12:00:00 AM,6/6/2019 03:24:48 PM,False,,,,,,,,,,Not a DBE,,,1/14/2021 03:00:00 AM,5/24/2018 12:03:38 PM,10/31/2018 12:00:00 AM,12/14/2018 12:03:32 PM,3/7/2024 03:00:00 AM,3/11/2025 04:00:00 AM,,5000.0,1701.0,Framingham,Middlesex,42.459085,-71.275566,Central MA,40 Speen St,Suite 301,MA,42.312183,-71.389406,40.0,Speen St,,,Framingham,MA,Middlesex County,1701.0,EVIO Labs MA,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,PROVISIONAL LICENSE,,COMPLETE,IL281311,"Green Armory Laboratories, Inc",Worcester,1606.0,,,124 West Boylston Street,,Worcester,MA,1606,POINT (-71.840209 42.329642),POINT (-71.749187 42.2746190),124 West Boyston Street,,Worcester,MA,1606,84-2001435,ILN281311,11/1/2021 12:42:23 PM,12/21/2020 04:35:00 PM,,False,no,,,,,,,,,Not a DBE,,,,3/27/2019 02:07:18 PM,11/5/2021 10:19:55 AM,1/26/2022 02:07:36 PM,6/28/2022 04:00:00 AM,6/28/2023 04:00:00 AM,,10000.0,1606.0,Worcester,Worcester,42.329642,-71.840209,Central MA,124 West Boyston Street,,MA,42.274619,-71.749187,124.0,Boston Turnpike,,,Shrewsbury,MA,Worcester County,1545.0,"Green Armory Laboratories, Inc",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,IL281345,Canna Testing LLC,Chester,1011.0,,,241 Rt. 20,,Chester,MA,1011,POINT (-72.571312 42.12756),POINT (-72.980059 42.277493),785 Main Street,,Great Barrington,MA,1230,86-3082747,ILN281345,9/15/2021 01:01:58 PM,5/17/2021 01:03:28 PM,,False,no,,,,,,,,,Not a DBE,,,,6/25/2020 08:26:41 PM,10/5/2021 02:46:31 PM,11/18/2021 02:36:07 PM,,,,0.0,1011.0,Chester,Hampden,42.12756,-72.571312,Western MA,241 Route 20,,MA,42.277493,-72.98006,241.0,State Rte 20,,,Chester,MA,Hampden County,1011.0,Canna Testing LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,COMMENCE OPS,9/3/2021,COMPLETE,IL281335,"ATOZ Laboratories, Inc.",Hopkinton,1748.0,,,400 Donald Lynch Boulevard,Suite 102,Marlborough,MA,1752,POINT (-71.275566 42.459085),POINT (-71.543042 42.1995879),400 Donald Lynch Boulevard,Suite 102,Marlborough,MA,1752,84-3150853,ILN281335,8/21/2020 04:27:07 PM,8/21/2020 11:27:38 AM,,False,no,,,,,,,,,Not a DBE,,,7/15/2021 04:00:00 AM,3/13/2020 02:44:46 PM,8/27/2020 10:30:39 AM,11/19/2020 04:13:33 PM,12/14/2023 03:00:00 AM,12/18/2024 03:00:00 AM,,10000.0,1748.0,Hopkinton,Middlesex,42.459085,-71.275566,Central MA,100 South Street,,MA,42.199588,-71.543042,100.0,South St,,,Hopkinton,MA,Middlesex County,1748.0,"ATOZ Laboratories, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,PROVISIONAL LICENSE,,COMPLETE,IL281379,LabX Group LLC,Southbridge,1550.0,,,393 E Main Street,,Southbridge,MA,1550,POINT (-71.840209 42.329642),POINT (-72.013852 42.071303),25 Foxborough St,,New Bedford,MA,2746,86-2168205,ILN281379,12/21/2021 04:00:05 PM,12/14/2021 01:25:23 PM,,False,no,,,,,,,,,Not a DBE,,,,10/13/2021 03:27:46 PM,12/23/2021 02:01:57 PM,3/10/2022 01:52:58 PM,8/1/2022 04:00:00 AM,8/1/2023 04:00:00 AM,,10000.0,1550.0,Southbridge,Worcester,42.329642,-71.840209,Central MA,393 East Main Street,,MA,42.071303,-72.013852,393.0,E Main St,,,Southbridge,MA,Worcester County,1550.0,LabX Group LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,11/7/2018,COMPLETE,IL281275,"CDX Analyticc, LLC",Salem,1970.0,,,39 Norman Street,,Salem,MA,1970,POINT (-70.970827 42.635475),POINT (-70.898126 42.519762),39 Norman Street,,Salem,MA,1970,47-5562943,ILN281275,8/9/2018 12:32:54 PM,7/3/2018 12:00:00 AM,9/13/2018 10:23:51 AM,False,,,,,,,,,,Not a DBE,,,10/18/2018 04:00:00 AM,5/22/2018 02:02:40 PM,8/6/2018 12:00:00 AM,8/23/2018 03:46:38 PM,6/8/2023 04:00:00 AM,6/13/2024 04:00:00 AM,,5000.0,1970.0,Salem,Essex,42.635475,-70.970827,Northeast,39 Norman Street,,MA,42.519762,-70.898126,39.0,Norman St,,,Salem,MA,Essex County,1970.0,"CDX Analyticc, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,IL281363,"ACT Laboratories of Massachusetts, LLC",Fitchburg,1420.0,,,131 John Fitch Highway,,Fitchburg,MA,1420,POINT (-71.840209 42.329642),POINT (-71.776529 42.574624),152 North Street,"Suite 340, East Wing",Pittsfield,MA,1201,30-0857299,ILN281363,2/7/2022 03:25:46 PM,7/28/2021 12:10:34 PM,,False,no,,,,,,,,,Not a DBE,,,,12/31/2020 01:15:56 PM,2/8/2022 01:42:23 PM,3/10/2022 01:57:49 PM,,,,0.0,1420.0,Fitchburg,Worcester,42.329642,-71.840209,Central MA,131 John Fitch Highway,,MA,42.574624,-71.77653,131.0,John Fitch Hwy,,,Fitchburg,MA,Worcester County,1420.0,"ACT Laboratories of Massachusetts, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,COMMENCE OPS,12/19/2023,COMPLETE,IL281313,Northampton Labs,Northampton,1062.0,,,320 Riverside Drive,"Building 7, First Floor",Florence,MA,1062,POINT (-72.62073 42.322256),POINT (-72.665228 42.3201910),320 Riverside Drive,Building 7 First Floor,Florence,MA,1062,84-3184825,ILN281313,5/4/2021 10:47:47 AM,1/5/2021 03:06:54 PM,8/1/2021 05:24:56 PM,False,no,,,,,,,,,Not a DBE,,,11/9/2023 03:00:00 AM,4/12/2019 12:25:45 PM,5/7/2021 11:19:21 AM,6/22/2021 11:08:23 AM,7/13/2023 04:00:00 AM,8/1/2024 04:00:00 AM,,10000.0,1062.0,Florence,Hampshire,42.322256,-72.62073,,320 Riverside Dr,Building 7 First Floor,MA,42.320191,-72.665229,320.0,Riverside Dr,,,Florence,MA,Hampshire County,1062.0,Northampton Labs,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,COMMENCE OPS,9/17/2021,COMPLETE,IL281280,"Analytics Labs, LLC.",Holyoke,1045.0,,,28C APPLETON STREET,SUITE 3,HOLYOKE,MA,1040,,POINT (-72.601152 42.198957),28C APPLETON STREET,SUITE 3,HOLYOKE,MA,1040,83-3806495,ILN281280,3/19/2020 09:11:39 PM,8/26/2019 12:00:00 AM,,False,,,,,,,,,,Woman-Owned Business | Minority-Owned Business,,,8/12/2021 04:00:00 AM,6/11/2018 09:07:54 AM,3/27/2020 12:00:00 AM,6/4/2020 02:02:25 PM,8/10/2023 04:00:00 AM,8/14/2024 04:00:00 AM,,10000.0,,,,,,,28C Appleton Street,Suite 3,MA,42.198957,-72.601153,28.0,Appleton St,,,Holyoke,MA,Hampden County,1040.0,"Analytics Labs, LLC.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
