license_number,id,business_dba_name,license_type,license_status,address,business_legal_name,business_owner_name,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,issue_date,expiration_date,premise_city,premise_zip_code,business_email,business_image_url,data_refreshed_date
10306,1036765,"DANKORAGE, LLC",Retail Marijuana Store,Active-Operating,"2812 Spenard Road, Anchorage, AK 99503, UNITED STATES","DANKORAGE, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99503,,,2024-03-24T22:01:20.007861
10316,1036888,DENALI 420 RECREATIONALS,Retail Marijuana Store,Active-Operating,"2876 N. Rex Road, Houston, AK 99694, UNITED STATES",DENALI 420 RECREATIONALS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Houston,99694,,,2024-03-24T22:01:20.007861
10577,1032890,"ALASKAN LEAF, LLC",Retail Marijuana Store,Active-Operating,"1211 West 36th Avenue, Suite A, Anchorage, AK 99503, UNITED STATES","ALASKAN LEAF, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite A,Anchorage,,,2024-03-24T22:01:20.007861
10589,1038024,NATURES RELEAF LLC,Retail Marijuana Store,Active-Operating,"503 7th. Avenue, Fairbanks, AK 99701, UNITED STATES",NATURES RELEAF LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99701,,,2024-03-24T22:01:20.007861
10590,2112346,Cannabis Corner,Retail Marijuana Store,Active-Operating,"9735 Mud Bay Rd, Ketchikan, AK 99901, UNITED STATES",Cannabis Corner,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Ketchikan,99901,,,2024-03-24T22:01:20.007861
10646,1032773,THE GREEN ROOM AK,Retail Marijuana Store,Active-Operating,"610 C St. #A7, Anchorage, AK 99501, UNITED STATES",THE GREEN ROOM AK,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99501,,,2024-03-24T22:01:20.007861
10648,1038791,UNCLE HERB'S,Retail Marijuana Store,Active-Operating,"6511 Arctic Spur Rd., Anchorage, AK 99518, UNITED STATES",UNCLE HERB'S,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99518,,,2024-03-24T22:01:20.007861
10800,1034839,THE FIREWEED FACTORY LLC,Retail Marijuana Store,Active-Operating,"237 Front St. Juneau, Juneau, AK 99801, UNITED STATES",THE FIREWEED FACTORY LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Juneau,99801,,,2024-03-24T22:01:20.007861
10831,1036025,HIGH BUSH BUDS,Retail Marijuana Store,Active-Operating,"36312 Irons Ave., Suite 2, Soldotna, AK 99669, UNITED STATES",HIGH BUSH BUDS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 2,Soldotna,,,2024-03-24T22:01:20.007861
10837,2190193,"The Roots, Hillside",Retail Marijuana Store,Active-Operating,"8639 Toloff St., Suite 1, Anchorage, AK 99507, UNITED STATES","The Roots, Hillside",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 1,Anchorage,,,2024-03-24T22:01:20.007861
10844,1036860,"GREEN ELEPHANT, LLC",Retail Marijuana Store,Active-Operating,"101 Mill St., Suite B, Juneau, AK 99801, UNITED STATES","GREEN ELEPHANT, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite B,Juneau,,,2024-03-24T22:01:20.007861
10866,1034759,AK FROST,Retail Marijuana Store,Active-Operating,"5200 A Street, Suite 102, Anchorage, AK 99518, UNITED STATES",AK FROST,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 102,Anchorage,,,2024-03-24T22:01:20.007861
10869,1040267,GRASS STATION 49,Retail Marijuana Store,Active-Operating,"1326 Cushman St., Fairbanks, AK 99701, UNITED STATES",GRASS STATION 49,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99701,,,2024-03-24T22:01:20.007861
10873,1040109,THE STONEY MOOSE,Retail Marijuana Store,Active-Operating,"127 Stedman St., Ketchikan, AK 99901, UNITED STATES",THE STONEY MOOSE,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Ketchikan,99901,,,2024-03-24T22:01:20.007861
10883,2130116,Rainforest Cannabis,Retail Marijuana Store,Active-Operating,"726 Water Street, Ketchikan, AK 99901, UNITED STATES",Rainforest Cannabis,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Ketchikan,99901,,,2024-03-24T22:01:20.007861
10890,2188534,True North Cannabis,Retail Marijuana Store,Active-Operating,"735 W. 4th Ave., Anchorage, AK 99501, UNITED STATES",True North Cannabis,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99501,,,2024-03-24T22:01:20.007861
10901,1040691,THE HIGH EXPEDITION COMPANY,Retail Marijuana Store,Active-Operating,"13465 E Main St., Talkeetna, AK 99676, UNITED STATES",THE HIGH EXPEDITION COMPANY,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Talkeetna,99676,,,2024-03-24T22:01:20.007861
11000,1041064,CHENA CANNABIS,Retail Marijuana Store,Active-Operating,"1725 Richardson Highway, Suite 101, North Pole, AK 99705, UNITED STATES",CHENA CANNABIS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 101,North Pole,,,2024-03-24T22:01:20.007861
11050,1041697,HOUSTON GRASS STATION LLC,Retail Marijuana Store,Active-Operating,"15231 W Parks Hwy, Houston, AK 99694, UNITED STATES",HOUSTON GRASS STATION LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Houston,99694,,,2024-03-24T22:01:20.007861
11053,1041822,TRUE DANK,Retail Marijuana Store,Active-Operating,"1550 Cushman, Suite A, Fairbanks, AK 99701, UNITED STATES",TRUE DANK,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite A,Fairbanks,,,2024-03-24T22:01:20.007861
11119,2129663,Alaskan Grown Cannabis,Retail Marijuana Store,Active-Operating,"303-C West E. Street, Nome, AK 99762, UNITED STATES",Alaskan Grown Cannabis,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Nome,99762,,,2024-03-24T22:01:20.007861
11121,1042680,"BAD GRAMM3R, LLC",Retail Marijuana Store,Active-Operating,"1150 N Helen Lane, Wasilla, AK 99654, UNITED STATES","BAD GRAMM3R, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99654,,,2024-03-24T22:01:20.007861
11140,1042820,"FAT TOPS, LLC.",Retail Marijuana Store,Active-Operating,"36380 Murray Lane, Soldotna, AK 99669, UNITED STATES","FAT TOPS, LLC.",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Soldotna,99669,,,2024-03-24T22:01:20.007861
11198,1043398,ONE HIT WONDER,Retail Marijuana Store,Active-Operating,"3025 Parks Hwy, Suite 1, Fairbanks, AK 99709, UNITED STATES",ONE HIT WONDER,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 1,Fairbanks,,,2024-03-24T22:01:20.007861
11303,1044171,HOLLYWEED 907,Retail Marijuana Store,Active-Operating,"2429 E. 88th Ave, Anchorage, AK 99507, UNITED STATES",HOLLYWEED 907,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99507,,,2024-03-24T22:01:20.007861
11382,1030318,DENALI'S CANNABIS CACHE LLC,Retail Marijuana Store,Active-Operating,"M.M. 238.9 George Parks HWY., Suite 420, Denali National Park, AK 99755, UNITED STATES",DENALI'S CANNABIS CACHE LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 420,Denali National Park,,,2024-03-24T22:01:20.007861
11411,1044156,"DENALI DISPENSARIES, LLC",Retail Marijuana Store,Active-Operating,"225 E 5th Ave, Anchorage, AK 99501, UNITED STATES","DENALI DISPENSARIES, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99501,,,2024-03-24T22:01:20.007861
