license_number,business_dba_name,id,license_type,LicenseStatus,premise_county,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status_date,license_term,issue_date,expiration_date,business_legal_name,business_owner_name,business_structure,business_email,activity,parcel_number,business_image_url,business_phone,business_website,data_refreshed_date
07614508649058338463,Greenleaf Production Inc,07614508649058338463,Retail Production,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENLEAF PRODUCTION INC,,,,,,,,,2024-07-10
07617999699850287687,Carson City Agency Solutions Llc,07617999699850287687,Retail Distributor,Active,Carson City,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CARSON CITY AGENCY SOLUTIONS LLC,,,,,,,,,2024-07-10
07716430045859597948,Clear River Llc,07716430045859597948,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CLEAR RIVER LLC,,,,,,,,,2024-07-10
07793712489874595708,Mj Distributing P133 Llc,07793712489874595708,Retail Production,Active,Nye,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MJ DISTRIBUTING P133 LLC,,,,,,,,,2024-07-10
07912568590104527553,Tgnv Llc,07912568590104527553,Retail Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TGNV LLC,,,,,,,,,2024-07-10
08162604527632298682,Csnlv Llc,08162604527632298682,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CSNLV LLC,,,,,,,,,2024-07-10
08300436904530710396,Nv Green Inc,08300436904530710396,Retail Production,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NV GREEN INC,,,,,,,,,2024-07-10
08397135597394271337,West118 Investments Llc,08397135597394271337,Medical Production,Non-Operational,Lyon,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WEST118 INVESTMENTS LLC,,,,,,,,,2024-07-10
08487688474890863372,Wscc Inc,08487688474890863372,Retail Dispensary,Active,Carson City,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WSCC INC,,,,,,,,,2024-07-10
08542800532746610043,Ssac Corporation,08542800532746610043,Retail Production,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SSAC CORPORATION,,,,,,,,,2024-07-10
08792343110299625005,Livfree Wellness Llc A Nevada Limited Liability Company,08792343110299625005,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LIVFREE WELLNESS LLC A NEVADA LIMITED LIABILITY COMPANY,,,,,,,,,2024-07-10
